checkpoint,base_l2_all_6d,checkpoint_l2_all_6d,improvement_all_6d,checkpoint_l2_real_0_3,improvement_real_0_3,checkpoint_l2_padding_4_5
000100,0.110530,0.104635,0.005894,0.104635,0.005894,0.006213
000200,0.106734,0.108400,-0.001666,0.108400,-0.001666,0.005713
000300,0.108109,0.100378,0.007731,0.100378,0.007731,0.005618
000400,0.103042,0.101415,0.001627,0.101415,0.001627,0.005511
000500,0.102292,0.097148,0.005143,0.097148,0.005143,0.005687
